Rank	Pathway	Pheromone
1	hsa04330	6468.23
2	hsa04260	5430.9
3	hsa05410	3039.5
4	hsa05414	2811.82
5	hsa05412	2282.91
6	hsa04010	1842.73
7	hsa05223	1593.12
8	hsa05222	1179.36
9	hsa00230	752.633
10	hsa05130	310.708
11	hsa05143	235.179
12	hsa04960	220.824
13	hsa05110	219.813
14	hsa04360	205.676
15	hsa04370	176.882
16	hsa04961	174.574
17	hsa05214	169.897
18	hsa04978	133.849
19	hsa04664	132.865
20	hsa00140	129.031
21	hsa04650	123.925
22	hsa00670	119.188
23	hsa00072	118.631
24	hsa04916	110.955
25	hsa04012	102.064
26	hsa04070	101.377
27	hsa04971	95.1203
28	hsa04666	90.2682
29	hsa04310	87.8817
30	hsa05146	87.6161
31	hsa04912	82.85
32	hsa04670	81.1082
33	hsa04972	77.407
34	hsa04720	76.068
35	hsa04730	76.0669
36	hsa04540	73.3729
37	hsa04970	72.4961
38	hsa05416	63.5524
39	hsa04270	62.3174
40	hsa00051	60.9948
41	hsa00561	57.6743
42	hsa04530	54.0104
43	hsa04510	49.4475
44	hsa04724	48.8638
45	hsa04020	48.8155
46	hsa00564	43.138
47	hsa04974	37.6143
48	hsa00650	37.3665
49	hsa05200	35.8107
50	hsa00030	34.343
51	hsa03030	28.5447
52	hsa04672	28.4631
53	hsa05221	26.9787
54	hsa00910	25.5131
55	hsa05310	25.042
56	hsa05322	20.2893
57	hsa00780	20.138
58	hsa00330	19.9829
59	hsa00240	19.7897
60	hsa00603	19.499
61	hsa05220	19.3506
62	hsa00020	19.0795
63	hsa00450	18.8583
64	hsa00052	18.8315
65	hsa01100	18.7454
66	hsa05330	18.3852
67	hsa05340	17.7243
68	hsa04977	17.2986
69	hsa04940	17
70	hsa00601	16.1288
71	hsa00250	15.6233
72	hsa05332	15.5593
73	hsa00760	15.354
74	hsa04623	15.2362
75	hsa00510	15.0383
76	hsa03410	14.5657
77	hsa03020	14.5573
78	hsa04141	14.5167
79	hsa03018	14.3961
80	hsa00190	14.3886
81	hsa05016	14.1316
82	hsa00920	14.0934
83	hsa04110	13.8999
84	hsa04080	13.413
85	hsa00010	13.05
86	hsa05152	12.8239
87	hsa00730	12.4908
88	hsa04520	12.4699
89	hsa00740	12.4463
90	hsa04966	12.3496
91	hsa05323	11.9634
92	hsa03320	11.8417
93	hsa05012	11.4195
94	hsa04514	11.2083
95	hsa04320	11.1811
96	hsa04612	10.8474
97	hsa00310	10.7543
98	hsa05150	10.6741
99	hsa04145	10.5223
100	hsa04210	10.3347
101	hsa05014	10.2168
102	hsa03430	10.1825
103	hsa04120	10.1116
104	hsa04810	9.84864
105	hsa03450	9.77114
106	hsa04976	9.57667
107	hsa04114	9.4819
108	hsa04742	9.42732
109	hsa05210	8.90138
110	hsa04660	8.88224
111	hsa05010	8.833
112	hsa05320	8.72465
113	hsa04630	8.71886
114	hsa05216	8.65671
115	hsa01040	8.38682
116	hsa05120	8.31421
117	hsa00562	8.12563
118	hsa04060	8.11807
119	hsa04640	8.08983
120	hsa04975	8.04725
121	hsa00600	8.03098
122	hsa04930	7.94596
123	hsa00534	7.91272
124	hsa04146	7.78005
125	hsa04740	7.74422
126	hsa05140	7.71141
127	hsa05160	7.67139
128	hsa00512	7.59204
129	hsa00270	7.56003
130	hsa05145	7.55915
131	hsa04062	7.54158
132	hsa00514	7.47855
133	hsa04662	7.2701
134	hsa04710	7.13996
135	hsa00982	7.01176
136	hsa05100	6.94756
137	hsa05215	6.79277
138	hsa05131	6.7567
139	hsa00970	6.71042
140	hsa00071	6.69249
141	hsa00511	6.61298
142	hsa04962	6.51262
143	hsa00500	6.36906
144	hsa00620	6.35701
145	hsa03060	6.2796
146	hsa04115	6.23786
147	hsa00380	6.10648
148	hsa04910	6.02537
149	hsa04380	6.01667
150	hsa05217	6.0103
151	hsa04722	5.99028
152	hsa02010	5.92524
153	hsa04130	5.85228
154	hsa04914	5.78157
155	hsa05144	5.74066
156	hsa04144	5.68191
157	hsa00531	5.39213
158	hsa04512	5.29295
159	hsa03440	5.22594
160	hsa05162	5.20986
161	hsa04610	4.97316
162	hsa00640	4.88987
163	hsa04973	4.48762
164	hsa00350	4.48193
165	hsa05211	4.37357
166	hsa05142	4.36965
167	hsa05213	4.35557
168	hsa03420	4.31094
169	hsa05218	4.29505
170	hsa04620	4.15543
171	hsa04350	4.1201
172	hsa00604	4.06015
173	hsa00520	4.03869
174	hsa03022	4.02969
175	hsa03015	3.98582
176	hsa00532	3.9772
